Location,Details,Space,Bedrooms,Bathrooms,Description,Price
العاصمة الإدارية الجديدة,امتلك شقتك في #العاصمة_الادارية بخصم 38% لفترة محدودة,147,3,2,٣ غرف نوم | حمّامين ,2606325
مدينة الشروق,شقة للبيع مفروشة,65,2,1,٢ غرفتا نوم | حمّام ,620000
العاصمة الإدارية الجديدة,استلم فوري في العاصمه,177,3,3,٣ غرف نوم | ٣ حمّامات ,2600000
التجمع الخامس,apartment in lake view,150,2,2,٢ غرفتا نوم | حمّامين ,8200000
العاصمة الإدارية الجديدة,شقة 210م باقساط علي اطول فترة سداد 12سنة في العاصمة الادارية ,210,4,3,٤ غرف نوم | ٣ حمّامات ,3551000
اكتوبر الجديدة,شقه للبيع بمدينه الفردوس,220,3,2,٣ غرف نوم | حمّامين ,2500000
العاصمة الإدارية الجديدة,استلم شقتك فوري 170م في التجمع الخامس خلف الجامعة الأمريكية التسعين الجنوبي أمام ماونتن فيو,170,3,3,٣ غرف نوم | ٣ حمّامات ,3995000
العاصمة الإدارية الجديدة,"امتلك شقتك بمقدم 12% بتقسيط علي 12 سنة

اطول فترة تقسيط في العاصمةالادارية ب 80% تشطيب


• في",165,3,3,٣ غرف نوم | ٣ حمّامات ,4361395
العاصمة الإدارية الجديدة,شقتك بمقدم 10% في كمبوند سهل الوصل اليه كل الخدمات جمبك في العاصمة الادارية ,125,2,2,٢ غرفتا نوم | حمّامين ,3912000
العاصمة الإدارية الجديدة, بمقدم 356.736 تقدر تستلم شقتك فوري متشطبة في مشروع عايش بالفعل في العاصمة الادارية ,121,3,2,٣ غرف نوم | حمّامين ,3567366
مدينة نصر,شقه للبيع في كومباوند جرين اويسيس حي الواحه مدينه نصر,125,2,2,٢ غرفتا نوم | حمّامين ,1825000
المعادي,شقه للبيع بالقرب لكورنيش النيل,175,3,2,٣ غرف نوم | حمّامين ,3000000
القاهرة الجديدة,big OFFER apartment 185m+garden..new cairo,185,4,2,٤ غرف نوم | حمّامين ,14944568
مدينة نصر,شقة مستويين للبيع,230,3,2,٣ غرف نوم | حمّامين ,3200000
التجمع الخامس,penthouse in the square,175,3,2,٣ غرف نوم | حمّامين ,6760000
التجمع الخامس,Apartment in mounatin view hydepark,135,2,2,٢ غرفتا نوم | حمّامين ,6300000
العاصمة الإدارية الجديدة,دوبلكس للبيع متشطب بالكامل في المقصد من شركه سيتي ايدج,390,5,3,٥ غرف نوم | ٣ حمّامات ,1080000
مدينتي,شقة في مدينتي ، للبيع,110,2,1,٢ غرفتا نوم | حمّام ,450000
مدينتي,شقه بمدينتى b15 من المالك مباشره,147,3,2,٣ غرف نوم | حمّامين ,3067890
اكتوبر الجديدة,وحده سكنيه تشطيب كامل بال ACS بالشيخ زايد,160,3,3,٣ غرف نوم | ٣ حمّامات ,10173475
مدينتي,شقه بموقع متميز b8من المالك مباشره,172,3,2,٣ غرف نوم | حمّامين ,3940451
العاصمة الإدارية الجديدة,شقه للبيع متشطب بالتكيفات,115,2,1,٢ غرفتا نوم | حمّام ,3220000
القاهرة الجديدة,شقه للبيع في جاردينيا هايتس 3 التجمع الخامس القاهرة الجديدة,230,3,2,٣ غرف نوم | حمّامين ,2750000
اكتوبر الجديدة,شقه للبيع بكومباوند جلاديوس جاردن بالشيخ زايد,2801,4,2,٤ غرف نوم | حمّامين ,6800000
اكتوبر الجديدة,شقه 3BD&4B fully finished اكتوبر الجديده,202,3,4,٣ غرف نوم | ٤ حمّامات ,12998000
مدينة بدر,شقه تشطيب سوبر لوكس في الحي المتميز,170,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,للبيع دوبلكس (ارضي + بيزمنت) فيلات تمر حنة,530,3,3,٣ غرف نوم | ٣ حمّامات ,3500000
التجمع الخامس,شقه 230 م للبيع  فوري في كمبوند الباتيو اورو التجمع الخامس بمنطقه الجولدن سكوير Patio Oro,230,3,2,٣ غرف نوم | حمّامين ,3750000
مدينة الشروق,K-شقه جاهزه للاستلام في الشروق بسعر مميز,165,3,2,٣ غرف نوم | حمّامين ,1500000
مدينة الشروق,الحق الفرصة وامتلك شقتك في الشروق طريق السويس,170,1,2,ستوديو | حمّامين ,1500000
القاهرة الجديدة,بنتهاوس _ للبيع,94,1,1,غرفة نوم | حمّام ,0
القطامية,شقة للبيع في كمبوند سرايات القطامية,100,2,1,٢ غرفتا نوم | حمّام ,1600000
المستقبل,استلام فورى / شقة 3 غرف لقططة للبيع / وقسط براحتك,150,3,2,٣ غرف نوم | حمّامين ,1500000
القاهرة الجديدة,#شقه لقطه للبيع بكمبوند #Sarai القاهره الجديده .,112,2,2,٢ غرفتا نوم | حمّامين ,300000
القاهرة الجديدة,فرصه #دوبلكس بسعر لقطه للبيع بكمبوند #سراي .,205,3,3,٣ غرف نوم | ٣ حمّامات ,660000
التجمع الأول,ستوديو للبيع بسعر لقطه #بحري بالتجمع الاول بكمبوند #تاج_سيتي .,79,1,1,ستوديو | حمّام ,1830000
القاهرة الجديدة,شقة_ للبيع(كمبوند sarai),103,2,2,٢ غرفتا نوم | حمّامين ,360000
التجمع الأول,#ستوديو علي لاند سكيب للبيع بسعر لقطه بكمبوند #بالتجمع_الاول .,79,1,1,ستوديو | حمّام ,300000
المستقبل,للبيع شقة 153م متشطبة سوبر لوكس لقطة / وبالتقسيط الطوويل / في المستقبل سيتي,153,3,2,٣ غرف نوم | حمّامين ,2250000
التجمع الأول,ستوديو _ للبيع ( كمبوند تاج سيتي ),79,1,1,ستوديو | حمّام ,300000
التجمع الخامس,شقه في التجمع فوري تشطيب فندقي بالكامل بالتقسيط الجازي al jazi,163,2,2,٢ غرفتا نوم | حمّامين ,3500000
التجمع الخامس,Hotel apartment for sale operating at hotel JW Marriott in installments,163,2,2,٢ غرفتا نوم | حمّامين ,3000000
التجمع الخامس,شقة جاهزة للسكن 165م متشطبة ( اجهزة كهربائية + تكيفات) ف التجمع بالتقسيط الجازي ماريوت,165,3,2,٣ غرف نوم | حمّامين ,3000000
التجمع الخامس,شقة للبيع جاهزة للسكن فورا متشطبة بادارة JW Marriott في التجمع الخامس بالتقسيط,136,3,2,٣ غرف نوم | حمّامين ,3000000
القطامية,دوبلكس للبيع 180 متر مدينه النخيل بالم سيتي علي الشارع الرءيسي تشطيب مميز,180,4,3,٤ غرف نوم | ٣ حمّامات ,2800000
المستقبل,شقة 120متر بمدينة المستقبل للبيع من المالك مباشرا,120,3,1,٣ غرف نوم | حمّام ,1800000
حى الاندلس,لراغبى الارضى وحديقة خاصة بكمبوند دار مصر اخر ش التسعين الجنوبى أمام هايد بارك س لوكس جديدة ولم تسكن,150,3,3,٣ غرف نوم | ٣ حمّامات ,2475000
التجمع الخامس,امتلك شقتك بي سعر الطرح بتقسيط علي 10 سنوات,129,2,2,٢ غرفتا نوم | حمّامين ,20000
التجمع الخامس,"فرصة شقه فندقيه فاخرة
البيع يشمل (حصه الجراج والمطبخ والنجف والاضاءات الداخلية والابواب الحديدية",147,3,2,٣ غرف نوم | حمّامين ,3350000
مدينة السلام,بي بي سي  انضف حته في السلام,75,2,1,٢ غرفتا نوم | حمّام ,300000
القاهرة الجديدة,لقطه شقه فى مدينة نور احدث من شركات طلعت مصطفى,98,2,2,٢ غرفتا نوم | حمّامين ,200000
التجمع الخامس,شقه متشطبة بالكامل في التجمع الخامس في افخم كمبوند بجوار هايد بارك,186,3,2,٣ غرف نوم | حمّامين ,5000000
العاصمة الإدارية الجديدة,بمقدم 500الف تقدر تمتلك شقتك بارقي كمبوند بالعاصمه,189,3,3,٣ غرف نوم | ٣ حمّامات ,500000
مدينة نصر,شقه مافهاش غلطه,210,3,3,٣ غرف نوم | ٣ حمّامات ,6000000
التجمع الأول,فرصة ماتتعوضش شقة 151م للبيع بالسعر القديم,151,3,3,٣ غرف نوم | ٣ حمّامات ,3250000
الزيتون,بجوار كنيسة العذراء بالزيتون,150,3,2,٣ غرف نوم | حمّامين ,1350000
مدينة نصر,شقه للبيع في مدينه نصر,250,3,2,٣ غرف نوم | حمّامين ,2800000
القاهرة الجديدة,بدر شقه تمليك الحي الثالث مجاوره الرابعه 127 م,120,3,2,٣ غرف نوم | حمّامين ,60000
وسط القاهرة,شقتين مساحه 500متر بأحمد عرابى المهندسين,500,1,4,أكثر من 6 غرف | ٤ حمّامات ,8500000
العاصمة الإدارية الجديدة,بمقدم  388.500ج امتلك شقتك في أرقي مكان كومبوند فلوريا بالعاصمة  الادارية,185,3,3,٣ غرف نوم | ٣ حمّامات ,388500
15 مايو,شقة . للبيع,85,3,1,٣ غرف نوم | حمّام ,450000
مدينة الرحاب,شقة لي الإجار,130,3,2,٣ غرف نوم | حمّامين ,15000
مدينة الرحاب,شقه للبيع 176م الترا هاى لوكس  / مدينه الرحاب / فيو مفتوح,176,3,3,٣ غرف نوم | ٣ حمّامات ,5750000
التجمع الأول,شقه بيزمنت ارضي منخفض للبيع  في الياسمين3,225,3,3,٣ غرف نوم | ٣ حمّامات ,3200000
المقطم,شقة للبيع خلف نادي الصيد القطامية,135,3,1,٣ غرف نوم | حمّام ,1500000
المعادي,شقة تمليك مساحه 170مترتشطيب بزهراء المعادي,170,3,2,٣ غرف نوم | حمّامين ,1400000
المعادي,شقة تمليك مساحه 170مترتشطيب بزهراء المعادي,170,3,2,٣ غرف نوم | حمّامين ,1250000
التجمع الأول,"شقه متشطبة الترا سوبر لوكس
مساحة  3 غرف للبيع علي محور محمد نجيب بالتجمع الخامس",140,3,2,٣ غرف نوم | حمّامين ,7000000
التجمع الخامس,دوبلكس بروف 400 م بالتجمع,400,5,4,٥ غرف نوم | ٤ حمّامات ,6500000
العاصمة الإدارية الجديدة,بمقدم 550 ألف و المتبقى بالتقسيط على 8 سنوات باميز لوكيشن بالعاصمه الاداريه,206,3,2,٣ غرف نوم | حمّامين ,550000
التجمع الخامس,شقه للبيع بالتجمع الخامس,150,3,3,٣ غرف نوم | ٣ حمّامات ,6700000
القاهرة الجديدة,بيت الوطن التجمع الخامس استلام فورى,180,3,3,٣ غرف نوم | ٣ حمّامات ,1
مدينة نصر,للبيع شقة 210 م2 صافي تشطيب سوبر لوكس مسجلة شهر عقاري بارقي أماكن بمدينة نصر تصلح لجميع الأغراض,210,3,2,٣ غرف نوم | حمّامين ,2750000
التجمع الأول,ستوديو للبيع بسعر لقطه #بحري بالتجمع الاول بكمبوند #تاج_سيتي .,79,1,1,ستوديو | حمّام ,1830000
التجمع الأول,#ستوديو علي لاند سكيب للبيع بسعر لقطه بكمبوند #بالتجمع_الاول .,79,1,1,ستوديو | حمّام ,300000
اكتوبر الجديدة,شقه للبيع GF بمقدم5٪ في قلب م اكتوبر,105,2,1,٢ غرفتا نوم | حمّام ,9700000
القاهرة الجديدة,شقه #استلام فوري بسعر لقطه للبيع بكمبوند #سراي .,123,2,2,٢ غرفتا نوم | حمّامين ,2100000
القاهرة الجديدة,دوبلكس ارضي وبيزمنت,180,3,2,٣ غرف نوم | حمّامين ,4250000
القاهرة الجديدة,شقه لقطه للبيع بكمبوند #سراي استلام فوري,174,3,3,٣ غرف نوم | ٣ حمّامات ,2750000
مدينة بدر,شقة في بدر,90,3,2,٣ غرف نوم | حمّامين ,650000
التجمع الخامس,شقه 118m بالقاهره الجديده  بمقدم 5٪ وفتره سداد طووويله,118,2,2,٢ غرفتا نوم | حمّامين ,11630000
المستقبل,شقة للبيع 170م في مدينة المستقبل بالقرب من مديننتي,170,3,2,٣ غرف نوم | حمّامين ,590000
التجمع الأول,#ستوديو علي لاند سكيب للبيع بسعر لقطه بكمبوند #بالتجمع_الاول .,79,1,1,ستوديو | حمّام ,300000
مدينتي,بيع شقة بأوفر,110,2,1,٢ غرفتا نوم | حمّام ,450000
التجمع الخامس,big SAALE apartment with garden 42m in new cairo,123,2,2,٢ غرفتا نوم | حمّامين ,13400000
التجمع الأول,ستوديو للبيع بسعر لقطه #بحري بالتجمع الاول بكمبوند #تاج_سيتي .,79,1,1,ستوديو | حمّام ,1830000
القاهرة الجديدة,شقه لقطه للبيع بكمبوند #سراي استلام فوري,174,3,3,٣ غرف نوم | ٣ حمّامات ,2750000
التجمع الخامس,شقة للبيع 180م تشطيب سوبر لوكس,180,3,3,٣ غرف نوم | ٣ حمّامات ,3330000
مدينة بدر,شقه170م ع حزام الاخضر مباشرا ف الحي المتميز,170,3,2,٣ غرف نوم | حمّامين ,1000000
القاهرة الجديدة,شقه #استلام فوري بسعر لقطه للبيع بكمبوند #سراي .,123,2,3,٢ غرفتا نوم | ٣ حمّامات ,2100000
شيراتون,شقه 230م للبيع على الطوب الأحمر / الملتقى العربى شيراتون / واجهه,230,3,2,٣ غرف نوم | حمّامين ,3200000
مدينة الشروق,M-شقة ارضى للبيع استلام فوري في الشروق,160,3,2,٣ غرف نوم | حمّامين ,1300000
التجمع الخامس,M-شقة متشطبة على المفتاح  في كمبوند address east,145,3,2,٣ غرف نوم | حمّامين ,1340000
التجمع الخامس,شقة للبيع 159م في التجمع الخامس ع شارع التسعين,159,3,2,٣ غرف نوم | حمّامين ,1536000
التجمع الخامس,AMAZING apartment with ROOF DP5%,81,1,1,غرفة نوم | حمّام ,7570000
التجمع الخامس,K-شقه للبيع بتشطيب كامل جاهزه للفرش علي طول في كمبوند متكامل الخدمات بالتجمع الخامس,167,3,2,٣ غرف نوم | حمّامين ,1500000
التجمع الأول,M-شقة بإطلالة خلابة على الطبيعة الخضراء الساحرة,175,3,2,٣ غرف نوم | حمّامين ,760000
حلوان,سوبر لوكس - ريسبشن - 2 غرفه نوم - حمام - مطبخ -2 اسانسير,125,2,1,٢ غرفتا نوم | حمّام ,850000
مدينة بدر,شقة في بدر بسعر مغري,90,3,1,٣ غرف نوم | حمّام ,650000
التجمع الخامس,Housing unit+GARDEN GF in New  Cairo DP5%,75,1,1,غرفة نوم | حمّام ,777000
القاهرة الجديدة,شقه في #العاصمه_الاداريه للبيع .. تقسيط علي 10 سنين بدون دفعات,299,3,3,٣ غرف نوم | ٣ حمّامات ,730000
15 مايو,شقة للبيع دار مصر 15 مايو,130,3,2,٣ غرف نوم | حمّامين ,0
عين شمس,شقه للبيع بالف مسكن,165,4,1,٤ غرف نوم | حمّام ,700000
مدينة نصر,شقة في كومباوند الواحة الخضراء جرين اوسيز,135,3,2,٣ غرف نوم | حمّامين ,15000
العاصمة الإدارية الجديدة,استلام شقتك فوري بأرقي كمبوند بالعاصمة الادارية,165,3,3,٣ غرف نوم | ٣ حمّامات ,560000
العاصمة الإدارية الجديدة,وحده سكنيه للبيع,160,3,3,٣ غرف نوم | ٣ حمّامات ,2200000
التجمع الخامس,بمقدم 30% فقط امتلك بنتهاوس 155م بروف 155م بموقع متميز على ش التسعين الشمالي ببيت الوطن,450,3,2,٣ غرف نوم | حمّامين ,3690000
التجمع الخامس,شقة للبيع فى الياسمين 1,185,3,3,٣ غرف نوم | ٣ حمّامات ,3600000
التجمع الخامس,دوبلكس للبيع بروف47م بتشطيب الترا سوبر لوكس في قلب التجمع الخامس,172,4,3,٤ غرف نوم | ٣ حمّامات ,1612000
التجمع الخامس,امتلك بنتهاوس 155م + روف 155م بسعر مميز بموقع متميز فى التكميلية ببيت الوطن,450,3,2,٣ غرف نوم | حمّامين ,3690000
مدينة نصر,شقة للبيع بمدينة التوفيق,130,3,1,٣ غرف نوم | حمّام ,1600000
العاصمة الإدارية الجديدة,بخصم 40% امتلك شقه 140م في كمبوند Midtown Sky العاصمه الاداريه الجديده,140,3,2,٣ غرف نوم | حمّامين ,335000
التجمع الخامس,شقه للبيع .... 139م بمقدم 570 الف و الباقي تقسيط,139,3,2,٣ غرف نوم | حمّامين ,570000
العاصمة الإدارية الجديدة,دوبلكس بسعر شقة متشطب سوبر لوكس بالكامل بأرقي كمبوند بالعاصمة الادارية,445,4,2,٤ غرف نوم | حمّامين ,700000
مدينة نصر,شقة للبيع بعمارات التوفيق,100,2,1,٢ غرفتا نوم | حمّام ,1750000
مصر الجديدة,شقة للبيع بعمارات العبور مرحلة اولى,145,2,2,٢ غرفتا نوم | حمّامين ,1700000
أخرى,شقه للبيع متفرعة من منشيه التحرير,100,2,1,٢ غرفتا نوم | حمّام ,550000
القطامية,شقة للبيع بكمبوند وان قطامية,211,3,2,٣ غرف نوم | حمّامين ,3100000
أخرى,دجله بلمز المرشدي طريق الوحات السادس اكتوبر,80,2,1,٢ غرفتا نوم | حمّام ,760
وسط القاهرة,شقة 175 متر على المحارة بحري امام حديقة دار العلوم 50 متر من شارع القصر العيني وجاردن سيتي,175,3,2,٣ غرف نوم | حمّامين ,2000000
المعادي,زهراء المعادي,125,2,1,٢ غرفتا نوم | حمّام ,1500000
التجمع الخامس,استلم شقتك علي المفتاح جاهزه للفرش في اميز كمبوند فالتجمع الخامس,180,3,2,٣ غرف نوم | حمّامين ,1512000
التجمع الأول,شقة بجاردن 40م للبيع  بسعر الكاش,165,2,3,٢ غرفتا نوم | ٣ حمّامات ,2557000
مدينتي,للبيع في مدينتي 107م فيو مميز جاردن واتجاه بحري,107,3,2,٣ غرف نوم | حمّامين ,0
أخرى,شقة + روف للبيع باللبيني فيصل,320,3,2,٣ غرف نوم | حمّامين ,1400000
النزهة,شقه 100 م للبيع النزهه الجديده سوبر لوكس تصلح جميع الأغراض دور تاني,100,2,1,٢ غرفتا نوم | حمّام ,0
مدينة الشروق,فيلا للبيع بجمعية الطلائع امام المركز الطبى العالمى طريق الاسماعليه الصحراوى,350,1,1,أكثر من 6 غرف | أكثر من 6 حمامات ,0
القاهرة الجديدة,pay 10%& receive townhouse fully finished,218,5,4,٥ غرف نوم | ٤ حمّامات ,833023
حلوان,شقة علي النيل مباشرة واجهة أمامية بحدائق حلوان,220,3,2,٣ غرف نوم | حمّامين ,1500000
العاصمة الإدارية الجديدة,شقه للبيع استلام فوري,150,3,3,٣ غرف نوم | ٣ حمّامات ,2900000
العاصمة الإدارية الجديدة,شقه في لوكيشن محترم امام حي المستثمرين منطقه R7,182,3,3,٣ غرف نوم | ٣ حمّامات ,4296000
عين شمس,شقه للبيع فى منشية التحرير,85,2,1,٢ غرفتا نوم | حمّام ,0
مصر الجديدة,شقة للبيع 85 متر مساكن شيراتون,85,2,1,٢ غرفتا نوم | حمّام ,1500000
التجمع الخامس,اي فيلا في قلب التجمع الخامس كومباوند اماره اقساط 8 سنين,200,3,3,٣ غرف نوم | ٣ حمّامات ,7900000
العاصمة الإدارية الجديدة,شقة استلام فوري 4 غرف بقسط ع10 سنوات بكمبوند المقصد,169,4,4,٤ غرف نوم | ٤ حمّامات ,450000
المستقبل,بمقدم 545 الف فقط / شقة ارضي لقطة للبيع / في المستقبل سيتي,122,2,2,٢ غرفتا نوم | حمّامين ,545
التجمع الخامس,دار مصر الاندلس,130,3,2,٣ غرف نوم | حمّامين ,1700000
النزهة,شقه للبيع النزهه الجديده 150 م استلام فوري دور 3 سعرها 300 الف,150,3,2,٣ غرف نوم | حمّامين ,0
المستقبل,شقة بجاردن لقطة للبيع /  سعرها 2 مليون كاااااش / استلام قريب,145,3,2,٣ غرف نوم | حمّامين ,2000000
القطامية,Amazing DISCOUNT...housing unit+ GARDEN Dp10%,160,3,3,٣ غرف نوم | ٣ حمّامات ,4815000
التجمع الخامس,شقة 190م للبيع,190,3,3,٣ غرف نوم | ٣ حمّامات ,2850000
التجمع الخامس,شقة لقطه لهواة التمييز والرقي 154 متر بالتجمع الخامس,154,3,2,٣ غرف نوم | حمّامين ,103000
التجمع الخامس,"شقه للبيع في كومبوند في قلب التجمع الخامس مكتمل الخدمات , امن , مناطق خضراء , حمام سباحه , ستريب مول",137,2,2,٢ غرفتا نوم | حمّامين ,7200000
مدينة نصر,شقه في اول مدينه نصر استلام فوري 160 متر فقط مليون 500 الف كاش,160,3,2,٣ غرف نوم | حمّامين ,1500000
العاصمة الإدارية الجديدة,شقة بالعاصمة الادارية الجديدة,163,3,3,٣ غرف نوم | ٣ حمّامات ,2000000
مدينة بدر,مدينه بدر حي,100,2,2,٢ غرفتا نوم | حمّامين ,660000
مدينة السلام,شقة تمليك للبيع,130,2,2,٢ غرفتا نوم | حمّامين ,850000
التجمع الأول,"اخر شقة للبيع 3 غرف امام المطار (بالسعررر القديم!)
_ المساحة 158م ( 3 غرف + ريسبشن قطعتين + مطبخ",155,3,3,٣ غرف نوم | ٣ حمّامات ,0
مدينة بدر,شقه اهالي حي تاني مجاوره اولي,130,3,2,٣ غرف نوم | حمّامين ,1200000
المعادي,شقة للبيع علي كورنيش المعادي,200,3,2,٣ غرف نوم | حمّامين ,2
مدينة نصر,شقة سكنية 140م للبيع كاش بزهراء مدينة نصر القاهرة,140,3,1,٣ غرف نوم | حمّام ,570000
مصر الجديدة,شقه 200م للبيع / مصر الجديده شارع الحجاز الرئيسى,200,3,2,٣ غرف نوم | حمّامين ,0
مدينة بدر,شقه اهالي شماليه,190,3,2,٣ غرف نوم | حمّامين ,85000
مدينة نصر,"بسم الله الرحمن الرحيم
شقتين لقطه للبيع في مدينه نصر
اول سااكن 
 شارع موازي  لطيران
عماره جديده مبان",260,3,3,٣ غرف نوم | ٣ حمّامات ,5700000
مدينتي,شقة للبيع بأوفر,110,2,1,٢ غرفتا نوم | حمّام ,400000
شيراتون,شقه 120م للبيع بالعفش والأجهزه / شيراتون المطار,120,2,2,٢ غرفتا نوم | حمّامين ,0
مصر الجديدة,شقه للايجار الجديد عمارات خلف العبور صلاح سالم خلف دار المشاه,145,3,1,٣ غرف نوم | حمّام ,0
مدينة السلام,شقه للبيع 28 ش البيان - من جمال عبد الناصر امام  مدرسة براعم البيان قبل الاخير,155,3,2,٣ غرف نوم | حمّامين ,550000
القاهرة الجديدة,شقه للبيع بنص التمن في #العاصمه_الاداريه_الجديده,186,3,3,٣ غرف نوم | ٣ حمّامات ,2900000
التجمع الأول,#شقه لقطه للبيع بكمبوند #Sarai القاهره الجديده .,112,2,2,٢ غرفتا نوم | حمّامين ,300000
التجمع الأول,شقه #استلام فوري بسعر لقطه للبيع بكمبوند #سراي .,123,2,3,٢ غرفتا نوم | ٣ حمّامات ,2100000
التجمع الأول,#ستوديو علي لاند سكيب للبيع بسعر لقطه بكمبوند #بالتجمع_الاول .,79,1,1,ستوديو | حمّام ,300000
مدينة بدر,شقة للبيع..,150,3,2,٣ غرف نوم | حمّامين ,950000
التجمع الأول,شقه لقطه للبيع #بحري علي لاند سكيب بكمبوند #تاج_سيتي .,175,3,3,٣ غرف نوم | ٣ حمّامات ,680000
أخرى,شقه للبيع في المهندسين,262,3,3,٣ غرف نوم | ٣ حمّامات ,7074000
القاهرة الجديدة,اسكن في العاصمه الاداريه الجديده في شقه 149م (3 غرف) بقسط كل شهر 18000,149,3,3,٣ غرف نوم | ٣ حمّامات ,1540000
مدينة الرحاب,شقة راقيه بمدينه الرحاب,105,3,2,٣ غرف نوم | حمّامين ,2950000
المستقبل,بالتقسيط علي 8 سنين / امتلك شقة 173 م / في كمبوند راقي,173,3,2,٣ غرف نوم | حمّامين ,600000
المستقبل,بمقدم 450 الف فقط / شقة 110م لقطة للبيع / وبالتقسيط الطويل,110,2,2,٢ غرفتا نوم | حمّامين ,450000
القاهرة الجديدة,شقة 3 غرف / بمقدم 540 الف فقطط / في كمبوند راقي,143,3,2,٣ غرف نوم | حمّامين ,540000
حلوان,شقه تمليك سوبر لوكس للبيع,75,2,1,٢ غرفتا نوم | حمّام ,300000
شيراتون,شقق للبيع بتشطيب سوبر لوكس في شيراتون كمبوند stoda,150,3,2,٣ غرف نوم | حمّامين ,0
العبور,شقة بڤيلا في الحي الرابع بالعبور أرضي مرتفع مع حديقة 80م,140,2,1,٢ غرفتا نوم | حمّام ,1900000
التجمع الخامس,Silvia compound,170,3,2,٣ غرف نوم | حمّامين ,3487761
أخرى,شقه بمدينه الشروق,130,2,1,٢ غرفتا نوم | حمّام ,1300000
حدائق القبة,24 شاًرع شلبي,120,3,1,٣ غرف نوم | حمّام ,850000
العبور,فيلا دوبلكس للبيع مدينة العبور الحي السادس,320,4,3,٤ غرف نوم | ٣ حمّامات ,2600000
مدينة الشروق,شقه للبيع في كمبوند متكامل الخدمات في مدينة الشروق,160,3,2,٣ غرف نوم | حمّامين ,1700000
النزهة,شقق سكنيه للبيع,300,4,3,٤ غرف نوم | ٣ حمّامات ,1000000
مدينة بدر,شقتك عندنا وبس,170,3,2,٣ غرف نوم | حمّامين ,0
القاهرة الجديدة,شقه سكنيه180م,180,3,3,٣ غرف نوم | ٣ حمّامات ,0
التجمع الخامس,شقه لقطه استلام فوري بالتجمع الخامس تشطيب سوبر لوكس,140,3,1,٣ غرف نوم | حمّام ,6700000
قصر النيل,شقه للبيع بأرقي مكان في وسط القاهره,100,3,1,٣ غرف نوم | حمّام ,1950000
جاردن سيتي,شقة للبيع فى جاردينيا سيتي,120,3,1,٣ غرف نوم | حمّام ,1850000
الزيتون,شقة ترعة الجبل الزيتون,80,2,1,٢ غرفتا نوم | حمّام ,850000
العبور,دور رابع مساحه 525م مرخص سكني 300م العبور الحي التاسع ش الثقافه  قريب من دار مصر الحي التاسع العبور,300,1,3,أكثر من 6 غرف | ٣ حمّامات ,5000000
التجمع الخامس,شقة لقططططة 150م للبيع بقسط شهري 19 الف,150,3,2,٣ غرف نوم | حمّامين ,2850000
التجمع الخامس,للبيع روف بالأندلس عمارات تالت نمره من التسعين,190,3,2,٣ غرف نوم | حمّامين ,1800000
المقطم,شقة للبيع مساحه 125 م اجمالي محيط مستشفى المقطم وكازيون بالقرب من شارع 9 الرئيسي المقطم,100,2,1,٢ غرفتا نوم | حمّام ,0
التجمع الخامس,شقة استلام فورى بمقدم 50% والباقى تسهيلات,200,3,2,٣ غرف نوم | حمّامين ,4500000
